_id,Canton,Circuito,Distrito,Edad,Estado Civil,Fecha Infracción,Hora Infracción,Nacionalidad,Provincia,Sexo,Zona,tipo_muert_matriz
907,SALITRE,VICTORIA,SALITRE,42,SOLTERO,2014-10-18T00:00:00,2015-12-02T18:00:00,ECUADOR,GUAYAS,MASCULINO,ZONA 5,Sicariatos
908,GUAYAQUIL,CISNE,PORTETE,20,SOLTERO,2014-10-19T00:00:00,2015-12-02T23:00:00,ECUADOR,GUAYAS,MASCULINO,ZONA 8,Asesinatos
909,GUAYAQUIL,MONTE SINAI,NUEVA PROSPERINA,44,SOLTERO,2014-10-19T00:00:00,2015-12-02T20:00:00,ECUADOR,GUAYAS,MASCULINO,ZONA 8,Asesinatos
910,GUAYAQUIL,MONTE SINAI,NUEVA PROSPERINA,41,SOLTERO,2014-10-19T00:00:00,2015-12-02T20:00:00,ECUADOR,GUAYAS,FEMENINO,ZONA 8,Asesinatos
911,GUAYAQUIL,PARAISO LA FLOR,NUEVA PROSPERINA,24,SOLTERO,2014-10-19T00:00:00,2015-12-02T23:00:00,ECUADOR,GUAYAS,MASCULINO,ZONA 8,Asesinatos
912,CHIMBO,MAGDALENA,SAN MIGUEL,59,SOLTERO,2014-10-19T00:00:00,2015-12-02T10:30:00,ECUADOR,BOLIVAR,MASCULINO,ZONA 5,Asesinatos
913,DAULE,LA YOLITA,DAULE,45,SOLTERO,2014-10-20T00:00:00,2015-12-02T00:00:00,ECUADOR,GUAYAS,MASCULINO,ZONA 5,Asesinatos
914,ELOY_ALFARO,LIMONES,ELOY ALFARO,20,SOLTERO,2014-10-20T00:00:00,2015-12-02T12:00:00,ECUADOR,ESMERALDAS,MASCULINO,ZONA 1,Asesinatos
915,LAGO_AGRIO,EL DORADO,LAGO AGRIO,45,SOLTERO,2014-10-18T00:00:00,2015-12-02T21:00:00,ECUADOR,SUCUMBIOS,MASCULINO,ZONA 1,Asesinatos
916,GUAYAQUIL,TRINITARIA NORTE,ESTEROS,34,SOLTERO,2014-10-21T00:00:00,2015-12-02T07:00:00,ECUADOR,GUAYAS,FEMENINO,ZONA 8,Femicidios
917,LA_JOYA_DE_LOS_SACHAS,SAN PEDRO,LA JOYA DE LOS SACHAS,25,SOLTERO,2014-07-10T00:00:00,2015-12-02T07:00:00,ECUADOR,ORELLANA,MASCULINO,ZONA 2,Homicidios
918,LA_JOYA_DE_LOS_SACHAS,POMPEYA,LA JOYA DE LOS SACHAS,11,SOLTERO,2014-04-10T00:00:00,2015-12-02T20:20:00,ECUADOR,ORELLANA,FEMENINO,ZONA 2,Asesinatos
919,GUAYAQUIL,FLOR DE BASTION,NUEVA PROSPERINA,39,SOLTERO,2014-10-21T00:00:00,2015-12-02T20:30:00,ECUADOR,GUAYAS,FEMENINO,ZONA 8,Femicidios
920,GONZALO_PIZARRO,LUMBAQUI,SUCUMBIOS,34,CASADO,2014-10-22T00:00:00,2015-12-02T09:45:00,ECUADOR,SUCUMBIOS,MASCULINO,ZONA 1,Homicidios
921,AMBATO,LETAMENDI,AMBATO SUR,22,SOLTERO,2014-10-24T00:00:00,2015-12-02T02:30:00,ECUADOR,TUNGURAHUA,MASCULINO,ZONA 3,Asesinatos
922,MONTALVO,MONTALVO,BABAHOYO,53,UNION LIBRE,2014-10-24T00:00:00,2015-12-02T11:30:00,ECUADOR,LOS_RIOS,MASCULINO,ZONA 5,Homicidios
923,QUITO,DAMMER,EUGENIO ESPEJO,26,NO DETERMINADO,2014-10-24T00:00:00,2015-12-02T08:40:00,COLOMBIA,PICHINCHA,MASCULINO,ZONA 9,Homicidios
924,QUITO,CONOCOTO SUR,LOS CHILLOS,30,CASADO,2014-10-24T00:00:00,2015-12-02T18:08:00,ECUADOR,PICHINCHA,MASCULINO,ZONA 9,Homicidios
925,SAN_PEDRO_DE_PELILEO,EL TAMBO,PATATE,22,CASADO,2014-10-24T00:00:00,2015-12-02T18:45:00,ECUADOR,TUNGURAHUA,FEMENINO,ZONA 3,Femicidios
926,QUITO,JIPIJAPA,EUGENIO ESPEJO,15,SOLTERO,2014-10-25T00:00:00,2015-12-02T10:40:00,ECUADOR,PICHINCHA,MASCULINO,ZONA 9,Homicidios
927,CAYAMBE,CAYAMBE SUR,CAYAMBE,18,SOLTERO,2014-10-25T00:00:00,2015-12-02T23:40:00,ECUADOR,PICHINCHA,MASCULINO,ZONA 2,Asesinatos
928,LAGO_AGRIO,NUEVO SUCUMBIOS,LAGO AGRIO,,NO DETERMINADO,2014-10-26T00:00:00,2015-12-02T09:30:00,ECUADOR,SUCUMBIOS,MASCULINO,ZONA 1,Homicidios
929,ESMERALDAS,BELLAVISTA NORTE,ESMERALDAS,32,SOLTERO,2014-10-26T00:00:00,2015-12-02T17:30:00,ECUADOR,ESMERALDAS,MASCULINO,ZONA 1,Sicariatos
930,GUAYAQUIL,TRINITARIA NORTE,ESTEROS,22,SOLTERO,2014-10-27T00:00:00,2015-12-02T05:30:00,ECUADOR,GUAYAS,MASCULINO,ZONA 8,Asesinatos
931,DURAN,DIVINO NIÑO,DURAN,31,SOLTERO,2014-10-26T00:00:00,2015-12-02T21:00:00,ECUADOR,GUAYAS,MASCULINO,ZONA 8,Asesinatos
951,MUISNE,MUISNE,ATACAMES,61,SOLTERO,2014-01-11T00:00:00,2015-12-02T14:00:00,ECUADOR,ESMERALDAS,MASCULINO,ZONA 1,Asesinatos
932,SANTO_DOMINGO,JULIO MORENO,SANTO DOMINGO ESTE,34,SOLTERO,2014-01-20T00:00:00,2015-12-02T21:45:00,ECUADOR,SANTO_DOMINGO_DE_LOS_TSACHILAS,MASCULINO,ZONA 4,Homicidios
933,SANTA_LUCIA,SANTA LUCIA,DAULE,51,SOLTERO,2014-10-26T00:00:00,2015-12-02T00:00:00,ECUADOR,GUAYAS,MASCULINO,ZONA 5,Asesinatos
934,RIO_VERDE,PALESTINA,RIO VERDE,27,SOLTERO,2014-10-25T00:00:00,2015-12-02T18:00:00,ECUADOR,ESMERALDAS,MASCULINO,ZONA 1,Asesinatos
935,PEDRO_MONCAYO,MALCHINGUI,CAYAMBE,85,VIUDO,2014-10-27T00:00:00,2015-12-02T16:09:00,ECUADOR,PICHINCHA,MASCULINO,ZONA 2,Asesinatos
936,LAGO_AGRIO,EL DORADO,LAGO AGRIO,46,DIVORCIADO,2014-10-27T00:00:00,2015-12-02T20:45:00,ECUADOR,SUCUMBIOS,MASCULINO,ZONA 1,Asesinatos
937,EL_GUABO,RIO BONITO,PASAJE,65,CASADO,2014-10-27T00:00:00,2015-12-02T21:45:00,ECUADOR,EL_ORO,MASCULINO,ZONA 7,Homicidios
938,GUAYAQUIL,NUEVA PROSPERINA,NUEVA PROSPERINA,51,SOLTERO,2014-10-27T00:00:00,2015-12-02T00:00:00,ECUADOR,GUAYAS,MASCULINO,ZONA 8,Asesinatos
939,GUAYAQUIL,TRINITARIA NORTE,ESTEROS,18,SOLTERO,2014-10-27T00:00:00,2015-12-02T05:20:00,ECUADOR,GUAYAS,FEMENINO,ZONA 8,Femicidios
940,GUAYAQUIL,MONTE SINAI,NUEVA PROSPERINA,32,SOLTERO,2014-10-27T00:00:00,2015-12-02T06:40:00,ECUADOR,GUAYAS,MASCULINO,ZONA 8,Homicidios
941,NARANJITO,NARANJITO CENTRO,NARANJITO MARCELINO MARIDUEÑA,68,SOLTERO,2014-10-28T00:00:00,2015-12-02T16:40:00,ECUADOR,GUAYAS,MASCULINO,ZONA 5,Homicidios
942,MANTA,CENTRO,MANTA,60,SOLTERO,2014-10-22T00:00:00,2015-12-02T13:00:00,ECUADOR,MANABI,MASCULINO,ZONA 4,Asesinatos
943,ATACAMES,TONSUPA,ATACAMES,36,UNION LIBRE,2014-10-29T00:00:00,2015-12-02T23:00:00,COLOMBIA,ESMERALDAS,MASCULINO,ZONA 1,Homicidios
944,MONTECRISTI,LEONIDAS PROAÑO,MANTA,35,CASADO,2014-09-30T00:00:00,2015-12-02T06:20:00,ECUADOR,MANABI,MASCULINO,ZONA 4,Asesinatos
945,MACARA,MACARA,MACARA,71,CASADO,2014-10-29T00:00:00,2015-12-02T00:30:00,ECUADOR,LOJA,MASCULINO,ZONA 7,Asesinatos
946,MANTA,MURCIELAGO,MANTA,23,SOLTERO,2014-08-31T00:00:00,2015-12-02T22:15:00,ECUADOR,MANABI,MASCULINO,ZONA 4,Homicidios
947,QUITO,PINTAG,LOS CHILLOS,21,CASADO,2014-10-30T00:00:00,2015-12-02T18:00:00,ECUADOR,PICHINCHA,FEMENINO,ZONA 9,Femicidios
948,GENERAL_ANTONIO_ELIZALDE,BUCAY,EL TRIUNFO BUCAY,43,SOLTERO,2014-09-22T00:00:00,2015-12-02T05:20:00,ECUADOR,GUAYAS,MASCULINO,ZONA 5,Asesinatos
949,QUITO,COCHAPAMBA,EUGENIO ESPEJO,18,SOLTERO,2014-10-31T00:00:00,2015-12-02T18:30:00,ECUADOR,PICHINCHA,MASCULINO,ZONA 9,Homicidios
952,GUAYAQUIL,ORQUIDEAS,PASCUALES,25,SOLTERO,2014-02-11T00:00:00,2015-12-02T01:48:00,ECUADOR,GUAYAS,MASCULINO,ZONA 8,Asesinatos
953,SANTA_ROSA,LAS PALMERAS,SANTA ROSA,33,SOLTERO,2014-02-11T00:00:00,2015-12-02T03:00:00,ECUADOR,EL_ORO,MASCULINO,ZONA 7,Asesinatos
954,GUARANDA,FACUNDO VELA,GUARANDA,23,SOLTERO,2014-01-11T00:00:00,2015-12-02T20:30:00,ECUADOR,BOLIVAR,MASCULINO,ZONA 5,Asesinatos
955,ESMERALDAS,ESMERALDAS LIBRE,ESMERALDAS,61,SOLTERO,2014-02-11T00:00:00,2015-12-02T06:00:00,ECUADOR,ESMERALDAS,MASCULINO,ZONA 1,Homicidios
956,SANTO_DOMINGO,SANTA MARTHA NORTE,SANTO DOMINGO ESTE,33,SOLTERO,2014-01-26T00:00:00,2015-12-02T00:00:00,ECUADOR,SANTO_DOMINGO_DE_LOS_TSACHILAS,MASCULINO,ZONA 4,Homicidios
957,SANTO_DOMINGO,CRISTO VIVE,SANTO DOMINGO ESTE,25,UNION LIBRE,2014-03-20T00:00:00,2015-12-02T16:30:00,ECUADOR,SANTO_DOMINGO_DE_LOS_TSACHILAS,MASCULINO,ZONA 4,Asesinatos
958,BABAHOYO,UNIVERSIDAD,BABAHOYO,26,CASADO,2014-02-11T00:00:00,2015-12-02T22:00:00,ECUADOR,LOS_RIOS,MASCULINO,ZONA 5,Asesinatos
959,BABAHOYO,UNIVERSIDAD,BABAHOYO,22,SOLTERO,2014-02-11T00:00:00,2015-12-02T23:00:00,ECUADOR,LOS_RIOS,MASCULINO,ZONA 5,Asesinatos
960,SAN_JACINTO_DE_YAGUACHI,BOLICHE,YAGUACHI,30,SOLTERO,2014-09-15T00:00:00,2015-12-02T15:00:00,ECUADOR,GUAYAS,MASCULINO,ZONA 5,Homicidios
961,SANTO_DOMINGO,PUERTO LIMON,SANTO DOMINGO OESTE,42,SOLTERO,2014-03-23T00:00:00,2015-12-02T10:00:00,ECUADOR,SANTO_DOMINGO_DE_LOS_TSACHILAS,MASCULINO,ZONA 4,Asesinatos
962,PUTUMAYO,PUERTO DEL CARMEN,PUTUMAYO,33,NO DETERMINADO,2014-03-11T00:00:00,2015-12-02T21:15:00,COLOMBIA,SUCUMBIOS,MASCULINO,ZONA 1,Asesinatos
963,MACHALA,JAMBELI CENTRO,MACHALA,15,SOLTERO,2014-04-11T00:00:00,2015-12-02T17:30:00,ECUADOR,EL_ORO,MASCULINO,ZONA 7,Asesinatos
964,QUITO,LLANO CHICO,CALDERON,56,CASADO,2014-04-11T00:00:00,2015-12-02T22:15:00,ECUADOR,PICHINCHA,MASCULINO,ZONA 9,Homicidios
965,LAGO_AGRIO,EL DORADO,LAGO AGRIO,25,SOLTERO,2014-04-11T00:00:00,2015-12-02T15:00:00,ECUADOR,SUCUMBIOS,MASCULINO,ZONA 1,Asesinatos
966,SANTO_DOMINGO,PLAN DE VIVIENDA,SANTO DOMINGO OESTE,40,SOLTERO,2014-02-21T00:00:00,2015-12-02T18:00:00,ECUADOR,SANTO_DOMINGO_DE_LOS_TSACHILAS,MASCULINO,ZONA 4,Asesinatos
967,QUITO,CHIMBACALLE,ELOY ALFARO,21,SOLTERO,2014-05-11T00:00:00,2015-12-02T12:30:00,ECUADOR,PICHINCHA,FEMENINO,ZONA 9,Homicidios
968,PORTOVELO,PORTOVELO,ZARUMA,82,CASADO,2014-05-11T00:00:00,2015-12-02T02:00:00,ECUADOR,EL_ORO,MASCULINO,ZONA 7,Asesinatos
969,GUAYAQUIL,GARAY,9 DE OCTUBRE,23,SOLTERO,2014-05-11T00:00:00,2015-12-02T11:00:00,ECUADOR,GUAYAS,MASCULINO,ZONA 8,Asesinatos
970,MANTA,CUBA,MANTA,70,SOLTERO,2014-06-11T00:00:00,2015-12-02T03:30:00,ECUADOR,MANABI,FEMENINO,ZONA 4,Femicidios
971,ESMERALDAS,PROPICIA,ESMERALDAS,33,SOLTERO,2014-01-01T00:00:00,2015-12-02T05:47:00,ECUADOR,ESMERALDAS,MASCULINO,ZONA 1,Homicidios
972,EL_TRIUNFO,EL TRIUNFO ESTE,EL TRIUNFO BUCAY,19,SOLTERO,2014-05-11T00:00:00,2015-12-02T09:40:00,ECUADOR,GUAYAS,MASCULINO,ZONA 5,Asesinatos
973,QUEVEDO,7 DE OCTUBRE,QUEVEDO,30,SOLTERO,2014-01-01T00:00:00,2015-12-02T04:00:00,ECUADOR,LOS_RIOS,MASCULINO,ZONA 5,Asesinatos
974,ESMERALDAS,CODESA,ESMERALDAS,32,SOLTERO,2014-02-01T00:00:00,2015-12-02T04:00:00,ECUADOR,ESMERALDAS,FEMENINO,ZONA 1,Asesinatos
975,RIOBAMBA,POLITECNICA,RIOBAMBA,2,SOLTERO,2014-06-11T00:00:00,2015-12-02T12:30:00,ECUADOR,CHIMBORAZO,MASCULINO,ZONA 3,Asesinatos
976,EL_TRIUNFO,EL TRIUNFO CENTRO,EL TRIUNFO BUCAY,34,SOLTERO,2014-04-01T00:00:00,2015-12-02T20:45:00,ECUADOR,GUAYAS,MASCULINO,ZONA 5,Asesinatos
977,EL_TRIUNFO,EL TRIUNFO ESTE,EL TRIUNFO BUCAY,21,SOLTERO,2014-05-11T00:00:00,2015-12-02T09:30:00,ECUADOR,GUAYAS,MASCULINO,ZONA 5,Sicariatos
978,SANTA_ANA,SANTA ANA,24 DE MAYO,,DIVORCIADO,2014-05-01T00:00:00,2015-12-02T00:33:00,COLOMBIA,MANABI,MASCULINO,ZONA 4,Homicidios
979,SAN_LORENZO,FRONTERA,SAN LORENZO,62,UNION LIBRE,2014-05-11T00:00:00,2015-12-02T21:30:00,ECUADOR,ESMERALDAS,MASCULINO,ZONA 1,Asesinatos
980,CAYAMBE,CAYAMBE SUR,CAYAMBE,47,SOLTERO,2014-05-11T00:00:00,2015-12-02T19:30:00,ECUADOR,PICHINCHA,MASCULINO,ZONA 2,Asesinatos
981,ESMERALDAS,SAN MATEO,ESMERALDAS,23,SOLTERO,2014-06-11T00:00:00,2015-12-02T22:00:00,ECUADOR,ESMERALDAS,MASCULINO,ZONA 1,Asesinatos
982,QUEVEDO,7 DE OCTUBRE,QUEVEDO,22,SOLTERO,2014-12-01T00:00:00,2015-12-02T08:00:00,ECUADOR,LOS_RIOS,MASCULINO,ZONA 5,Asesinatos
